Timestamp,What is your primary training?,What is your current area of research?,What operating system do you use?,"What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [DNA/protein sequences]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Genomes]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Expression data]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Epigenetic data]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Protein structure]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Enzyme kinetics]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Clinical data]","What data did you analyse since the start of your PhD? What data will you analyse, and what would you like to know more of? [Microscopy images]","If there are any points you think are missing in the previous question, please add them here:",What percentage of your working time do you spend in front of the computer,What bioinformatics-like tasks do you have to do on a regular basis and which software do you use for them?,Did you solve at least one of your day-to-day tasks using a programming language?,Did you submit at least one job to a computing cluster?,"Which of the following topics would you be interested in? (leave blank for “don’t know”) [Statistics: p-values, multiple testing adjustment, false discovery rates, basic statistical tests, confidence intervals]",Which of the following topics would you be interested in? (leave blank for “don’t know”) [Statistics: different kinds of plots and when to use them],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Statistics: visualising high-dimensional data (e.g. to compare expression signatures of different phenotypes)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Statistics: introduction to Bayesian modeling],"Which of the following topics would you be interested in? (leave blank for “don’t know”) [Basic R: revisiting basic commands, making publication-quality plots]",Which of the following topics would you be interested in? (leave blank for “don’t know”) [Intermediate R: how to parallelise code and speed up running times],"Which of the following topics would you be interested in? (leave blank for “don’t know”) [Intermediate R: packages and use cases for genomics, gene expression, etc.]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Basic UNIX: navigate directory structures, connect to a remote server, using basic command-line tools (like grep and sed)]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Intermediate UNIX: shell scripting, working on a computing cluster, compiling software and handling system paths]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Basic Python: introduction, when to choose Python over R]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Intermediate Python: R integration, the scientific libraries NumPy, SciPy and pandas]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Basic Latex: how to write articles with Latex, include figures, cite literature etc., without having to learn the syntax]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Version Control: why it is useful to have a history of your work, tutorial on how to use it]","Which of the following topics would you be interested in? (leave blank for “don’t know”) [Version Control: code sharing, branches, and tracking down bugs]",Which of the following topics would you be interested in? (leave blank for “don’t know”) [Automation: using R scripts to generate figures from primary data that just need rerunning when the data changes],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Automation: using makefiles to go from raw data to full reports and have no additional work when the data changes],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: the ENCODE project],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: ChEBI/ChEMBL (general and bioactive small molecules)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: EnsEMBL (genes and gnomes)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: ArrayExpress (expression profiles)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: Uniprot (proteins) and InterPro (protein conservation)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: Reactome (pathways) and BioModels (computable models)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: PDBe/emDB (European structural database incl. EM-structures)],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Databases: an overview of Web Services and how to use them to retrieve large amounts of data],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Tutoring session: getting advice on how to analyse data in my specific project],Which of the following topics would you be interested in? (leave blank for “don’t know”) [Qualitative or quantitative mathematical modelling],"Besides the above points, is there anything you would like to hear more about? Some analysis you need to do but you don't know how? Some bioinformatics-related background relevant to your project that you are missing?"
12/06/2013 10:37:16,Biology,Microbiology/Pathogens,Windows,did analyse,did analyse,would like to hear more of,would like to hear more of,none,none,would like to hear more of,will analyse,,40,"Phylogenetics -> artemis, UNIX, figtree etc",No,No,-2,-3,-4,-4,-3,(1) less,(1) less,(1) less,-4,-4,-4,(1) less,-4,-4,-4,(5) more,-3,-3,-4,(5) more,-4,-2,-2,-3,-4,-3,
12/06/2013 10:38:28,Computer Science,Bioinformatics/Computational Biology,Mac OS-X,would like to hear more of,did analyse,will analyse,would like to hear more of,none,none,would like to hear more of,none,,100,"c++, R, perl....",Yes,Yes,-2,-3,-4,(5) more,(1) less,(5) more,(5) more,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,-4,(1) less,(1) less,(1) less,-3,(1) less,(1) less,(1) less,(1) less,(1) less,(5) more,
12/06/2013 10:39:07,Mathematics,Microbiology/Pathogens,Mac OS-X,did analyse,did analyse,will analyse,would like to hear more of,would like to hear more of,none,will analyse,will analyse,,80,"text parsing, algorithm development, linking tools together
mainly perl, python & R
converted into go if computationally slow",Yes,Yes,-2,(5) more,(5) more,-2,-2,-4,-4,(1) less,(1) less,(1) less,-4,(1) less,(5) more,(5) more,(5) more,(5) more,-2,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,
12/06/2013 10:49:43,Biology,Genomics,Mac OS-X,will analyse,will analyse,would like to hear more of,none,none,none,will analyse,none,,20,"Will be using the following and more:
quasr
bwa
velvet
+statistical packages",Plan to,Yes,(5) more,(5) more,-4,(5) more,(5) more,-4,(5) more,-3,-3,-4,-4,-4,-4,-4,(5) more,(5) more,(5) more,(1) less,(5) more,(5) more,,,,(5) more,(5) more,,
12/06/2013 11:42:14,Biology,Bioinformatics/Computational Biology,Mac OS-X,would like to hear more of,would like to hear more of,none,none,none,none,none,did analyse,"I both be analysing genomes, and therefore would like to hear most about whole-genome analysis.",60,"None yet, but I will be doing whole-genome sequencing. I assume it will be calling variants using Caveman, applying further filters, writing Perl scripts, R would be quite useful ",Yes,No,(5) more,(5) more,(5) more,,(5) more,(5) more,,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(5) more,(5) more,-3,(1) less,,(1) less,(1) less,(1) less,(1) less,(1) less,-3,(1) less,
12/06/2013 12:19:59,Biology,Protein structures,Linux/Unix,did analyse,none,none,none,would like to hear more of,did analyse,none,would like to hear more of,,60,"Python-like scripting: cshell
submitting to the cluster
webbased sequence analysis
",No,Yes,-4,(5) more,(1) less,(1) less,(5) more,-2,-2,(1) less,-4,,(5) more,(5) more,(1) less,(1) less,-2,-2,(1) less,(1) less,(1) less,(1) less,(1) less,-2,-4,-4,-2,(1) less,
12/06/2013 12:23:33,Biology,Cancer,Mac OS-X,did analyse,did analyse,did analyse,would like to hear more of,will analyse,would like to hear more of,would like to hear more of,did analyse,,60,"- variant calling - samtools mpileup
- intersections - bedtools",Yes,Yes,(5) more,(5) more,-2,-2,(5) more,-3,-3,-4,(5) more,(5) more,-3,(5) more,(5) more,-3,-4,-4,-2,-2,-4,-2,-4,-2,-3,-4,-3,-2,
12/06/2013 12:24:31,Computer Science,Bioinformatics/Computational Biology,Linux/Unix,did analyse,did analyse,will analyse,none,none,none,will analyse,none,,100,"Mapping - blast, bwa, soap
Assembly - soap-denovo
Snp-calling - in-house stuff",Yes,Yes,-4,-3,(5) more,-4,(1) less,(1) less,-2,(1) less,(1) less,(1) less,(1) less,-2,(1) less,(1) less,(1) less,(1) less,-2,-2,-3,-2,(1) less,-3,(1) less,-2,-2,-4,
12/06/2013 12:24:54,Biology,Molecular/Cell Biology,Mac OS-X,did analyse,would like to hear more of,will analyse,would like to hear more of,none,none,none,did analyse,,60,"Image processing: Fiji, CellProfiler, CellCognition, R
Statistics: R",Yes,Yes,-2,-2,-4,(5) more,(1) less,-4,(5) more,(1) less,-3,(1) less,(5) more,-3,-2,-2,-2,-2,-3,(1) less,-2,-2,(1) less,-2,(1) less,-3,-2,(5) more,
12/06/2013 12:26:08,Biology,Microbiology/Pathogens,Mac OS-X,did analyse,would like to hear more of,would like to hear more of,none,none,none,none,will analyse,Networks building,30,"Plots -  Matlab
",Plan to,No,(5) more,-4,(5) more,,(5) more,,,(5) more,,(5) more,,-4,(1) less,,(5) more,,,,,,,,,,-4,-4,
12/06/2013 12:28:38,Biochemistry,Bioinformatics/Computational Biology,Mac OS-X,none,none,none,none,did analyse,none,none,none,,100,"Currently I am working with my groups program, ARP/wARP, for automated model building of proteins.",Yes,Plan to,(5) more,(5) more,(5) more,(5) more,(1) less,(1) less,(1) less,-4,-4,-4,-4,-2,(5) more,(5) more,-4,-4,(1) less,(1) less,(1) less,(1) less,(5) more,-4,(5) more,(5) more,(5) more,(5) more,
12/06/2013 12:29:53,Biology,Protein structures,Linux/Unix,would like to hear more of,none,would like to hear more of,none,did analyse,will analyse,none,none,,30,"Sequence alignment (Jalview)
homology modelling (chimera, modeller, STRAP)",Plan to,No,-3,-3,-2,(5) more,(5) more,(5) more,(5) more,-3,(5) more,-3,(5) more,(5) more,-2,-2,-3,-2,-2,-3,(1) less,,-3,(1) less,-4,(5) more,-3,-4,
12/06/2013 12:30:56,Biology,Genomics,Mac OS-X,would like to hear more of,will analyse,would like to hear more of,will analyse,none,none,would like to hear more of,will analyse,,30,R,Plan to,Plan to,(5) more,-4,-4,-4,-3,,,,,,,(5) more,-4,-3,-3,,(5) more,-4,-4,,,,,,-4,-4,
12/06/2013 12:31:05,Biology,Protein structures,Windows,did analyse,none,none,none,did analyse,will analyse,none,none,,70,"Data Processing : dedicated softwares nmrPipe,",Yes,No,-4,-3,(1) less,-4,(5) more,-3,-2,(5) more,(5) more,-3,-4,-4,-2,(1) less,-4,-4,(1) less,(1) less,(1) less,(1) less,-4,(1) less,-4,(1) less,-3,-3,
12/06/2013 12:46:03,Physics,Molecular/Cell Biology,Windows,would like to hear more of,would like to hear more of,will analyse,would like to hear more of,would like to hear more of,would like to hear more of,would like to hear more of,did analyse,,50,"Image Analysis
Matlab (for near future)
and so far mostly Fiji",Plan to,No,(5) more,(5) more,(1) less,(5) more,(5) more,(5) more,(1) less,(5) more,(5) more,(5) more,(5) more,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,(5) more,
12/06/2013 13:06:11,Biology,Molecular/Cell Biology,Mac OS-X,will analyse,none,will analyse,would like to hear more of,would like to hear more of,would like to hear more of,none,did analyse,,40,"Image analysis, Data extraction: ImageJ/Fiji, CellCognition
Data analysis: R studio",Yes,No,(5) more,(5) more,(5) more,-3,-4,(5) more,(5) more,-2,-4,-3,(5) more,-2,-4,-4,(5) more,(5) more,-2,(1) less,-4,(5) more,(5) more,(1) less,-2,-2,(5) more,-3,
12/06/2013 13:10:21,Biology,Protein structures,Linux/Unix,none,none,none,none,did analyse,none,none,did analyse,,100,"image analysis/processing
matlab
perl
python

",Yes,Yes,-3,-4,(1) less,(1) less,(1) less,(1) less,(1) less,(1) less,-4,(5) more,(5) more,,-3,-3,,,,,,,-3,,,,,,"Why only R?
Matlab might be nice for some people."
12/06/2013 13:17:28,Biology,Molecular/Cell Biology,Mac OS-X,did analyse,none,none,none,did analyse,none,none,did analyse,,30,"Sequence analysis,
Vector NT
Blast
4 Picks
",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/06/2013 13:27:38,Computer Science,Bioinformatics/Computational Biology,Mac OS-X,none,none,did analyse,did analyse,would like to hear more of,will analyse,would like to hear more of,none,,90,"Metabolic Models Simulations (FBA, etc...), Data Analysis Scripts, Network Visualisation, 

Eclipse, Cytoscape, ",Yes,No,(5) more,-4,-4,-3,-3,-2,-3,-2,-2,-2,-2,(1) less,-2,-2,-2,-2,-3,-4,-3,-4,-4,-4,-3,-2,-2,-4,
12/06/2013 13:32:44,Biology,Genomics,Mac OS-X,would like to hear more of,will analyse,will analyse,will analyse,none,none,none,none,,20,None so far,Plan to,Plan to,(5) more,-3,(1) less,-3,,,(5) more,,(5) more,,,,,,(5) more,,(5) more,(1) less,(5) more,(5) more,(1) less,(1) less,(1) less,-3,(1) less,(1) less,
12/06/2013 13:49:32,Biology,Molecular/Cell Biology,Mac OS-X,would like to hear more of,none,did analyse,none,none,would like to hear more of,would like to hear more of,will analyse,,30,"I use web service tools like blast, clustal to align and compare sequences;
I use DAVID to functionally analyze data from high-throughput experiments;
I use STRING to correlate protein function and activity.",No,No,(5) more,(5) more,-3,(1) less,(1) less,(1) less,,(1) less,(1) less,(1) less,(1) less,-4,-3,(1) less,(1) less,(1) less,-4,-4,-4,-4,-4,-4,-3,-2,-3,(1) less,
12/06/2013 13:59:14,Biology,Molecular/Cell Biology,Windows,would like to hear more of,none,none,none,none,none,none,did analyse,Statistic analysis: would like to hear more of. Microscopy images: did analyse + would like to hear more of,20,"Statistic - Prism
Counting of axons, vesicles - Image J",No,No,(5) more,(5) more,(5) more,-4,-4,(1) less,(1) less,-4,(1) less,-4,-3,(5) more,(1) less,-2,(5) more,(5) more,(1) less,(1) less,(1) less,(1) less,-3,(1) less,-3,-2,-4,-3,
12/06/2013 15:03:51,"Biochemistry, and Chemistry","Chemistry, Enzymology",Mac OS-X,did analyse,none,would like to hear more of,none,did analyse,did analyse,will analyse,did analyse,,30,"graph plotting and analysis with Graphpad Prism software or Sigmaplot software;
Pymol (not very often)",No,Yes,(5) more,(5) more,-2,(1) less,-3,(1) less,(1) less,-2,(1) less,(1) less,(1) less,-4,-4,(1) less,-4,-4,-3,(5) more,-3,(5) more,(5) more,(5) more,(5) more,(5) more,(5) more,-3,
